frase	duracao_media	total_classificacoes	classificacao_majoritaria	total_positiva	total_negativa	total_neutra
ELE ENTÃO COMEÇOU A ENFIAR A MÃO POR DEBAIXO DA COBERTA PRA TENTAR ME TOCAR.	6.4684	5	neutra	0	2	3
EU DISSE QUE TRABALHAVA ATÉ TARDE.	10.6805	6	neutra	1	1	4
EU TOU PASSANDO MAL, e minha família parece vê que como eu me sinto, só fazem reclama brigarem comigo me xingarem me bater, estou ficando tão fraca que estou me rendendo a esse sentimento de dor.	15.787	4	negativa	0	4	0
EU não to nem ai pra pra nada, pra ninguém, foda-se, estou feliz do jeito que eu sou!	4.719	6	positiva	4	2	0
Ela correu logo para minhas pernas e começou a pegar no meu pênis com muita maestria.	7.6792	5	positiva	3	0	2
Ela falou pra mim que eu era um cara muito especial, que eu sabia tratar a mulher como uma rainha.	4.51275	4	positiva	4	0	0
Ela foi tirando a blusa em direção ao banheiro, fiquei olhando suas curvas, não era magra mas também não estava a cima do peso, quando ouvi o chuveiro ligar sentir meu corpo mais quente, sabia que era os primeiros sintomas que meu corpo dava de excitação.	9.1495	4	positiva	3	0	1
Ela me fala coisas e depois diz que não falou, me chama de mentirosa.	3.3543999999999996	5	negativa	0	5	0
Ela me recorda tantas coisas lindas, é como se ela fosse cúmplice dos amantes, dos apaixonados e às vezes fico a observá-la e sinto uma paz muito boa.	3.19475	4	positiva	4	0	0
Ela mesma já disse que ele é super MATERIALISTA e se preocupa muito com ele mesmo.	7.2874	5	negativa	0	4	1
Ela namora há quase 4 anos, já terminou uma vez, mas por pouco tempo.	6.2448	5	neutra	0	1	4
Ela não pode entrar na internet quando ele tá na casa dela (a não ser BEM RÁPIDO) pq tem que estar o tempo todo JUNTO DELE.	82.5988	5	negativa	0	4	1
Ela não pode sair aqui sem ele, apenas ficar em casa!	20.344	4	neutra	1	0	3
Ela não se importa de ouvir as suas reclamações amorosas, por mais que doa muito, ela sempre estará ali, para te amparar.	6.5551666666666675	6	positiva	5	0	1
Ela pode até ficar meio sem jeito, mas, se a conversa dos dois havia sido agradável para ela, com certeza ela irá aceitar o convite;	14.8725	4	positiva	3	0	1
Ela sai com as amigas, sai com os garotos.	6.109249999999999	4	neutra	1	0	3
Ela se interessa por todos os seus assuntos sem pé e sem cabeça.	7.448400000000001	5	empate	2	1	2
Ela só se importa em te ver bem.	4.181	5	positiva	5	0	0
Ela tem mania de me falar as coisas e depois dizer na minha cara, que não falou nada daquilo.	5.1722	5	negativa	0	4	1
Ela teve 5 filhos e nenhum teve pai.	7.15025	4	negativa	0	4	0
Ele agora ta com essa de ficar me controlando.	4.91625	4	negativa	0	3	1
Ele brincou, o que doeu um pouco, por conta do dedo grosso, mas foi bom.	5.5605	4	negativa	1	3	0
Ele chamava todos os garotos de quem eu falava ser um amigo, de idiota, ele não era um amigo chato, que fica no pé, mas nunca me deixou fazer algo errado!	10.192166666666667	6	empate	2	2	2
Ele chegou as 00:30 eu o esperava ansiosa pois sempre dormíamos agarradinhos e por isso o esperava.	8.9596	5	positiva	3	0	2
Ele conversava virado para mim com a mão no encosto do meu banco e, estranhamente comecei a sentir bem ficar ali com ele.	11.2365	4	positiva	3	0	1
Ele de imediato assumiu a mim e ao meu filho que ainda era um bebê, e foi tudo perfeito!	7.24	5	positiva	3	1	1
Ele desceu a mão até meu pescoço, sentia sua respiração.	2.28875	4	positiva	3	0	1
Ele desenha tão bem e o seu sorriso é lindo.	2.4905	6	positiva	6	0	0
Ele desliga o celular de madrugada e no outro dia diz que acabou a bateria.	4.9085	4	negativa	1	2	1
Ele dispara quando a pessoa chega perto e bate mais forte porque já pensa que é a sua outra metade.	8.519	6	neutra	2	1	3
Ele disse que me amava que sente minha falta que quando terminasse a faculdade iria vim me busca.	4.8668	5	positiva	5	0	0
Ele disse que não quer que eu me separe, não quer me ver sozinha.	7.4988	5	empate	2	1	2
Ele enfiava a língua na minha garganta, que quase morri.	4.1812499999999995	4	neutra	1	1	2
Ele era, e sempre será o meu melhor amigo, pois ele não está visível, mais está vivo em meu coração!	7.97275	4	positiva	3	1	0
Ele está triste e eu estou triste.	3.2716666666666665	6	negativa	0	6	0
Ele falou que gosta de mim de verdade, e pediu pra mim ter paciência.	5.8315	4	positiva	3	0	1
Ele foi meu professor de Geografia do 3ºano, só que ele deu aula de agosto até dezembro .	3.69075	4	neutra	0	0	4
Ele gemia do jeito que deixa muito excitada.	3.2161666666666666	6	positiva	5	0	1
Ele insinuou que eu poderia estar grávida, eu disse que isso, nem pensar, pois eu tomava anticoncepcional.	7.8432	5	neutra	0	1	4
Ele insistiu que eu relatasse exatamente nosso romance, desde o início, sem omitir nada, e depois publicasse na internet.	21.131999999999998	5	neutra	0	2	3
Ele já me traiu uma outra vez e eu perdoei, ele esta agindo igual a outra vez, me tratando com a maior frieza.	3.37	4	negativa	0	4	0
Ele me ameaçou disse que iria me matar.	2.312	5	negativa	0	5	0
Ele me completa quando você sente que falta algo em você mas você nunca soube o que era e ai você acha alguém que te entede e todo meio oposto que você e ai você se sente completa.	11.30125	4	positiva	4	0	0
Ele me confidencia que você foi a boca que ele mais gostou de beijar.	2.8362499999999997	4	negativa	0	4	0
Ele me deu um grande abraço, um beijo e disse que me amava, abri um sorriso.	4.4407499999999995	4	positiva	4	0	0
Ele me dizia tenho certeza de que a gente nunca vai fazer essas coisas que conversamos, mas tudo bem.	6.99625	4	positiva	4	0	0
Ele me levou pro quarto dele, e lá foi muito bom.	4.0974	5	positiva	5	0	0
Ele me receitou zolpidem, um hipnótico, pra me ajudar a dormir.	4.53275	4	empate	2	0	2
Ele meio que sugeriu que tenho personalidade borderline e espectro bipolar ( ciclotimia) enfim, nada que eu já não desconfiasse.	4.58475	4	positiva	4	0	0
Ele não entende porque ele nunca teve que passar por uma dificuldade assim, mas eu tenho certeza que se fosse a mãe dele no lugar do meu pai, ele teria feito o mesmo.	3.84125	4	neutra	0	0	4
Ele não se importa é com nada.	3.3823333333333334	6	negativa	0	6	0
Ele provavelmente vai falar comigo, pelo facebook.	5.207	4	neutra	1	0	3
Ele puxou assunto comigo e parou de me chamar pelo meu nome e começou a me chamar pelo o meu apelido.	5.461	4	neutra	1	0	3
Ele queria fazer sexo anal em mim e tava insistindo muito.	5.052	4	neutra	0	0	4
Ele se aproximou de mim me deu aquele abraço bem apertado e disse eu te amo.	5.42675	4	negativa	0	4	0
Ele sempre fazia propostas de webcam mais hot e eu já cheguei a ficar de calcinha e sutiã, mas isso foi uns bons meses depois.	9.882	5	neutra	0	1	4
Ele só está fazendo isso porque não aguenta mais a mãe dele e que quando eles brigaram ele pegou toda a roupa dele e colocou em uma sacola e fez maior sacanagem com ele.	9.2614	5	negativa	0	5	0
Ele tem 20 anos, não acabou o ensino médio (POR PREGUIÇA), NÃO TRABALHA, e é fanático por academia.	6.6145000000000005	4	negativa	0	4	0
Ele viajou e eu to aqui na seca.	3.0458000000000003	5	negativa	0	5	0
Ele, como eu previa, não tinha camisinha, e eu me recusei a transar daquele jeito.	12.511199999999999	5	empate	2	1	2
Eles brigaram e ela terminou com ele.	3.9844	5	negativa	0	4	1
Eles decidiram agir da forma mais natural possível.	3.7068	5	positiva	3	0	2
Eles foram maravilhosos comigo, me apoiaram e me ajudaram em tudo.	1.86475	4	positiva	4	0	0
Eles foram, eu entrei na sala, ele estava na frente do computador, quando eu coloquei a bolsa e um sacola que estava, numa mesa próxima a dele, ele beijou com um gosto de quero mais, nos começamos as preliminares ali.	6.738	4	positiva	4	0	0
Eles moram em cidades diferentes, porém próximas.	5.947799999999999	5	neutra	0	0	5
Eles não confiam um no outro, ela já me disse claramente que não confia!	4.5906666666666665	6	negativa	0	6	0
Eles não gostam de mim, não acreditam em meu potencial de chegar a ser uma psicóloga, não dão nada por mim, pra eles eu sou a mesma coisa de um rato.	5.6752	5	negativa	0	5	0
Eles não pensam como garotas. Então, não os trate como amigas.	19.5855	4	neutra	0	0	4
Eles só esperam um dia conseguir dizer, uma oportunidade, uma chance.	5.16075	4	empate	2	0	2
Em meus sonhos imaginava sua boca me dizendo as palavras que me faria feliz, que a partir desse dia seriamos eu e você pra sempre.	4.664833333333333	6	positiva	6	0	0
Em pessoas que achávamos conhecer, mas, que no fim, só mostraram ser iguais a todos.	6.147166666666667	6	negativa	0	6	0
Em poucos minutos, Helen gozou de um jeito que nunca tinha visto, era verdadeiro, era muito mais do que um simples sexo.	5.5206	5	positiva	5	0	0
Em quantos motivos eu já pensei para ser a razão do meu sofrimento, e até hoje eu não havia encontrado a resposta!	11.149500000000002	6	negativa	0	4	2
Em relação ao nosso filho ele não mudou em nada sempre cumpriu com o papel que assumiu perfeitamente um ótimo pai disso jamais me queixaria.	23.28225	4	empate	2	0	2
Em vez de cerca, uma ponte foi construída ali, ligando as duas margens do riacho.	4.575	6	empate	3	0	3
Encontrarei alguém que realmente me faça feliz, talvez, Deus quer que ele seja somente meu amigo, o meu melhor amigo, aquele amigo do jardim de infância, Deus tem algo melhor pra mim.	7.8245000000000005	6	positiva	5	0	1
Encontrei o blog da Crisanne Braga, uma ótima terapeuta holística daqui da cidade, li algumas matéria no blog dela e entrei em contato querendo saber os valores.	5.76825	4	neutra	0	0	4
Enfim é assim que começa meu dilema, eu tive um namorado com 14 anos e com ele fiquei até meus 16 engravidei e tudo foi por agua a baixo.	8.171	6	negativa	0	6	0
Enfim, Boa Noite, e gostaria de agradecer aos comentários do assunto anterior.	4.6744	5	positiva	3	0	2
Enquanto eu tiver forças luto, acho que até por isso consegui bom emprego cedo, me relaciono muito bem com as pessoas, lógico que a beleza de descendente de índio com italiano faz a diferença.	5.892	4	positiva	4	0	0
Enquanto isso não acontece, vivo a minha doce vida.	3.9722	5	positiva	5	0	0
Enquanto o garoto tímido passa horas ensaiando alguma coisa pra dizer quando lhe ver, e fica lembrando do seu sorriso, seu olhar, até seu jeito de falar, cada expressão sua.	8.037600000000001	5	positiva	4	1	0
Enquanto vc é importante para as pessoas você é lindo, é fofo, é inteligente, é sensual e se for além de tudo você se torna o amor.	9.2592	5	positiva	5	0	0
Entre beijos, ele começou a me acariciar, já estava pronta pra fazer aquilo, e entre beijos me envolvi completamente.	8.398	6	positiva	5	0	1
Entre risadas, brincadeiras, estava muito legal.	2.6310000000000002	4	positiva	4	0	0
Entregamo-nos nosso coração, o orgulho e todo nosso amor.	6.6933333333333325	6	positiva	4	0	2
Entregando-nos demais, acreditando e sempre sofremos com isso.	5.851	4	negativa	1	2	1
Entrei lá decidida que só sairia com algum outro remédio além do antidepressivo.	6.392799999999999	5	empate	1	2	2
Entrei neste fórum e vi pessoas super legais e inteligentes.	2.1445999999999996	5	positiva	4	0	1
Entrei no banheiro e fui tirando minha roupa, olhando nos olhos dela perguntei se eu podia entrar, balançou a cabeça com um sorriso malicioso e fez um gesto que sim, passou a mão pelo meu corpo.	9.81675	4	positiva	3	0	1
Então alguém bateu palmas no portão seria ali que minha vida desmoronaria, era um homem e meu esposo foi atender e nossa ele estava pálido nervoso eu não entendi o porque, e fiquei na porta quão grande foi minha decepção e angustia.	13.603	5	negativa	1	4	0
Então eu não sei mais oque fazer, me entregar pra morte ou esperar mais um pouco?	4.0905	6	negativa	1	5	0
Então fiz o cabelo dela, fiz uma escova pra fora, pra combinar com o corte, aí ela veio dizendo que estava horrível e mandou eu refazer tudo de novo, mas pra dentro.	10.388	6	negativa	1	5	0
Então resolvi procurar no Google alguma clinica que fazia terapia de vidas passadas em Goiânia, até então eu nem sabia que existia isso aqui, só tinha visto pela televisão.	6.109249999999999	4	neutra	1	0	3
Então é isso, fico por aqui, hoje estou muito feliz e com saudade dele já, a gente é grudento do nosso jeito, e eu amo isso.	4.404249999999999	4	positiva	4	0	0
Então, caso vocês não se vejam mais, ligue para ela e a convide para sair para os dois conversarem.	7.812600000000001	5	positiva	3	0	2
Então, ela está ali para aturar você falando sobre coisas banais, ela só quer ver a sua boca se mexer e o som da sua voz sair.	7.066666666666666	6	positiva	3	2	1
Então, me sobrou você.	4.0938	5	neutra	0	2	3
Então, nem deu tempo de eu ler uma página do livro e já bateu.	3.7455	4	neutra	1	1	2
Então, porque você garota não para de se interessar por aquele menino que tem coragem de chegar em você logo falando da sua aparência, olhando seu corpo e elogiando tentando te ganhar pelo que você é por fora.	12.2605	6	negativa	1	4	1
Então, resolvem fazer um pacto, o pacto da cinderela, onde prometem umas ás outras que vão fazer tudo para emagrecer.	9.2238	5	neutra	1	1	3
Então, você é que terá que ir lá e falar com ela, qualquer coisa, normalmente, diga Oi depois Tudo bem? e puxe um assunto interessante, nada muito pessoal.	7.967	6	positiva	4	0	2
Equações são mesmo muito legais de se fazer.	3.16	5	positiva	3	0	2
Era muita gente, tenho certeza que os 24 que entrarem vão ter gabaritado a prova!	7.3274	5	neutra	0	1	4
Era o aniversario dele, e eu queria fazer algo diferente.	1.88325	4	positiva	3	0	1
Era seminário, prova e trabalho tudo junto, eu tava pra ficar louca mesmo, ainda mais eu, que detesto falar em público.	5.5337499999999995	4	empate	0	2	2
Era um belo trabalho.	2.2768333333333333	6	positiva	6	0	0
Escrevi este relato, a mando do pai do meu filho.	4.441	5	empate	2	1	2
Esperar é doloroso, esquecer é doloroso, mas não saber o que fazer é o pior tipo de sofrimento.	7.441599999999999	5	negativa	0	5	0
Esperei tanto tempo para chegar a esse ponto, eu não sei mais o que fazer, tenho medo de perder sua amizade, ou melhor, acredito que perdi, pois nem querer me aceitar você quer mais.	108.59119999999999	5	negativa	0	5	0
Espero que o tempo passe , espero que a semana acabe , pra que eu possa te ver de novo !	15.533500000000002	4	positiva	3	0	1
Espero que seja muito feliz,que tenha uma velhice tranqüila seja sadio para cuidar de seus filhos eles precisam de você.	3.94825	4	positiva	4	0	0
Essa liberdade ta me fazendo muito falta agora.	4.1442	5	negativa	0	4	1
Essa pessoa que postou isso tem 56 ANOS e ERA CASADA NA ÉPOCA COM UM CARA DE 24 ANOS.	8.6658	5	neutra	1	1	3
Essa tia apesar de me dar de tudo era um demônio, ela gritava comigo, deixava os outros parentes me maltratar e bater, as vezes me batia, me deixava de castigo em lugares onde eu morria de medo, enfim ela era e é uma bruxa falsa, nojenta e ruim.	7.108	4	negativa	0	4	0
Essa é uma frase que eu costumo falar para alguém que pergunta sobre minha vida, mas ninguém entende.	3.118	4	positiva	4	0	0
Esse garoto não é metido, é super gente boa, mas de uns tempos pra cá eu me apaixonei por ele.	5.972	6	positiva	5	0	1
Esse é um local de muitos desabafos e eu me sinto meio mãezona de muitos que escrevem, pois sou mais velha que boa parte das meninas aqui.	7.1095	4	neutra	1	0	3
Esses sentimentos começaram quando tinha 14 anos(eu acho), não sei o que deu de errado na minha vida.	5.0947499999999994	4	positiva	2	1	1
Esses últimos 3 meses do mês é o período que mais trabalhamos pois ganhamos por comissão.	3.40975	4	positiva	4	0	0
Esta história fala sobre o relaciomento entre mulheres.	5.371	5	neutra	0	0	5
Esta noite a lua está tão linda, tão perfeita, uma obra prima de Deus.	3.3939999999999997	5	positiva	5	0	0
Esta noite início meu livro e quero compartilhar com vocês e lógico pedir aquelas famosas criticas de sempre, preciso daquele olhar crítico que todo bom leitor tem.	7.930199999999999	5	positiva	3	0	2
Estamos vivendo em um mundo onde a aparência física vale mais do que a aparência interior.	5.0078000000000005	5	positiva	3	2	0
Estar sozinho é fechar as mãos no nada quando se atravessa a rua correndo e não se tem uma mão para segurar.	7.700800000000001	5	negativa	0	5	0
Estar sozinho é triste, enche o saco dos outros e deve fazer mal para a saúde.	4.4488	5	negativa	0	5	0
Estava morrendo de vontade de chorar, então eu segurei as lagrimas e disse pra ele que eu não podia olhar pra ele que se eu olhasse meu olho ia começar a lagrimejar.	97.02539999999999	5	negativa	0	5	0
Estava tudo normal , eu estava ansiosa em vê-lo , fui pra casa dele depois do trabalho , tomei um banho e fomos deitar.	5.12725	4	neutra	1	0	3
Este filme ensina como amar e respeitar a pessoa que você ama. 	5.098166666666667	6	positiva	6	0	0
Este foi o relato do meu sexo de ano novo.	4.5165	4	empate	2	0	2
Este é o primeiro registro que faço aqui, e no momento não há muito o que falar da minha vida pessoal, então, vou reproduzir algo que escrevi em mensagem.	8.7645	6	neutra	0	0	6
Estes seios que não cabem dentro de uma mão, esparramam-se entre os dedos, que torce para que os aperte com firmeza, dedos que entram pelo sutiã, aparecendo pelo decote malicioso da blusa vermelha, e por dentro do sutiã aperta-os com doçura, delicadamente, apalpando e puxando para fora aquilo tudo que por dentro queima e palpita forte.	10.163	5	positiva	3	0	2
Estou ansiosa a te esperar.	3.3040000000000003	4	positiva	3	0	1
Estou aqui para compartilhar minha triste vida, mais especificamente minha triste vida como viciado em cocaína.	3.1664999999999996	6	negativa	0	6	0
Estou aqui postando isso, sei nem pra quer serve mas vamos lá né .	4.0762	5	neutra	0	1	4
Estou aqui, sentindo o gosto da droga que ainda escorre goela a dentro descendo do meu nariz, estou depressivo, beirando ao desespero e com uma tristeza imensa.	5.7752	5	negativa	0	5	0
Estou com uma vontade imensa de me bater de tanto ódio que eu estou de mim.	3.0090000000000003	4	negativa	0	4	0
Estou criando essa página pra desabafar com meu próprio computador.	4.488333333333333	6	empate	2	2	2
Estou escrevendo palavras desconexas porque minha mente é desconexa.	4.2804	5	negativa	0	4	1
Estou gostando de amar, e de ser amada, melhor coisa que tem é ser correspondida em relação a sentimentos bons.	7.577249999999999	4	neutra	0	1	3
Estou muito feliz e espero que você também.	2.8754999999999997	4	positiva	4	0	0
Estou pensando seriamente em fugir de casa e dar um tempo, e em sequencia conviver com meu amado!	13.9738	5	negativa	1	3	1
Estou procurando trabalho, talvez você tenha algum serviço para mim.	6.3914	5	neutra	1	1	3
Estou sem chão, sem rumo, sem sonhos.	1.6754000000000002	5	negativa	0	5	0
Estou sempre disponível para ajudar meus amigos, meus verdadeiros amigos e a quem precisar.	3.614	4	positiva	4	0	0
Estou só, minha esposa passou o dia fora e disse estar na casa de sua mãe, digo que ela disse pois temo estar sendo traído há algum tempo.	13.807400000000001	5	negativa	1	3	1
Estou tendo um relacionamento com uma pessoa do local de trabalho, sim trabalhamos na mesma empresa mas em locais distintos, descreve-lo é falar de um homem alto, com uma voz que te faz ficar toda molhadinha, sim é uma voz que dispensa comentários.	59.749500000000005	4	empate	2	0	2
Estávamos no ponto de ônibus, brincamos como nos filmes, ele corria atrás de mim, me pegava pela cintura, fazia cócegas, me pegava no colo, me levantava tirando meus pés do chão.	6.10975	4	positiva	4	0	0
Estávamos uns dias sem ter contato, quando ele me liga perguntando se eu havia esquecido ele e porque eu havia sumido.	1.86475	4	positiva	4	0	0
Eu achava que algumas coisas tão banais, eram mais importantes.	5.301399999999999	5	neutra	1	0	4
Eu achei que nunca iria amar ninguém na minha vida e isso acontece agora depois de velha.	7.5035	4	positiva	3	0	1
Eu achei super estranho e fiquei com muito medo, mais mesmo assim passamos pelo homem e continuamos andando.	6.666200000000001	5	negativa	1	3	1
Eu acho que já era madura pra ter oito ou nove anos, sinceramente.	5.790166666666667	6	neutra	1	1	4
Eu acredito nessa coisas, pode parecer besta pra algumas pessoas, mas pra mim não é.	9.7238	5	neutra	1	0	4
Eu ainda me lembro de tudo que vivi com você, e tenho saudades daquelas nossas noites em que você me contava suas alegrias e agonias.	26.585500000000003	4	positiva	3	1	0
Eu amo a forma como você me observa com tanta ternura, como se tudo em mim fosse inédito.	11.724666666666666	6	positiva	6	0	0
Eu amo sua sinceridade e inocência.	1.9172	5	positiva	5	0	0
Eu amo tanto ele e nunca quero perde-lo, pois ele é o motivo dos meus sorrisos , da minha felicidade!	8.317	6	positiva	6	0	0
Eu cheguei da escola ontem normal almocei e eu estava com o fone de ouvido no ultimo volume.	4.0116	5	neutra	1	0	4
Eu coloquei na sua vida, para você aprender o que é amar, e saber valorizar ao verdadeiro amor, quando ele chegar.	6.547999999999999	5	positiva	4	0	1
Eu como a boa esposa que sempre fui passei sua melhor farda engraxei seu coturno o deixei lindo e cheiroso ele me deu um beijo e se foi.	10.8538	5	positiva	3	1	1
Eu comprei uma camisa gola V vermelha com zíper pra ele.	3.8649999999999998	5	positiva	3	0	2
Eu confiei muito na Evellyn (minha prima), eu contei a ela coisas que só EU deveria saber, contei meus segredos, fiz coisas com ela, confiei nela até o último momento.	9.340399999999999	5	positiva	4	0	1
Eu cortei o cabelo, pintei, cortei, mudei minhas roupas, minha maquiagem, meus gostos.	4.4887500000000005	4	empate	2	0	2
Eu decidi aceitar, porque eu estava terrível mesmo ( ainda to, mas pelo menos agora que eu entrei de férias deu pra dar uma aliviada).	8.7415	4	negativa	1	2	1
Eu discuti ontem com minha avo, minha madrinha porque ela não confiou em mim para ir na padaria pra compra pão, mandou meu avo seguir.	6.5798000000000005	5	negativa	0	5	0
Eu disse a ela que isso não faz diferença pra mim, mas sinto que ela não apoia meu namoro.	26.3325	4	negativa	0	3	1
Eu disse que queria matar a saudade e ela disse que também.	3.48575	4	positiva	4	0	0
Eu e Carol estamos cada vez mais amigas, adoro ela.	65.6545	4	positiva	4	0	0
Eu e ele estávamos estudando uma matéria lá do curso dele.	5.512166666666666	6	neutra	0	0	6
Eu e meu medo de tomar remédios novos, com medo de me dar alguma reação colateral ou algo do gênero.	4.7067499999999995	4	empate	0	2	2
Eu e meu namorado agora, temos ficado bastante tempo juntos, e ainda temos aquele sonho de dormi juntos, e acordar um do lado do outro, sabe.	6.08	5	positiva	5	0	0
Eu emprestei o dinheiro para o meu pai e sinceramente, me arrependo muito disso.	9.11825	4	positiva	3	0	1
Eu encontro ele todo sábado, ele mora a duas ou três quadras do meu condomínio e temos alguns amigos em comum.	4.191	4	positiva	3	0	1
Eu entrando na minha sala então com os olhos cheios de lágrimas tive que me conter, pois as meninas que dizem ser minhas amigas só iam querer saber o porque de eu está chorando e iam me criticar.	8.514000000000001	6	negativa	0	6	0
Eu era uma criança muito tímida, me lembro que a turma inteira fazia bagunça e eu ficava ali no canto, sozinho sem conversar com ninguém.	5.124599999999999	5	negativa	0	5	0
Eu estou apaixonada pelo meu melhor amigo.	6.493600000000001	5	positiva	4	0	1
Eu estou chateada com tudo que esta acontecendo comigo.	3.728	6	negativa	0	5	1
Eu estou muito feliz com a aprovação, mesmo sabendo que não foi merecida de verdade.	3.80825	4	negativa	0	3	1
Eu fazia isso, porque eu não sabia o que era o amor.	5.3975	4	empate	0	2	2
Eu faço milagres, você não sabe, mas eu estou planejando o seu futuro, e os planos que tenho para você, irão te fazer muito feliz.	7.97275	4	positiva	3	1	0
Eu fico chateada, óbvio que não abala o meu namoro esses comentários ridículos, mas eu acho que o ser humano deve ser menos indiscreto e ter mais consideração com os outros.	6.3782000000000005	5	negativa	0	5	0
Eu fiquei POSSESSA!	1.94225	4	negativa	0	4	0
Eu fiquei muito triste porque eu gostava muito dele e estava disposta ai fazer tudo por ele ai as lagrimas cairam sem controle então eu contei tudo pra minha amiga ela esta me ajudando muito.	7.402	4	negativa	0	3	1
Eu fiz o mundo, eu fiz o amor.	3.6648333333333336	6	positiva	6	0	0
Eu fui tão idiota, em valorizar depois de perder.	8.9775	4	positiva	3	0	1
Eu gosto muito dela e sei que ela me ama.	2.5984000000000003	5	positiva	4	0	1
Eu hoje estava vindo trabalhar de tomara que caia todo florido de salto bem alto, um coletinho de renda, maquiada de acordo com a roupa com um brinco de perola caidinho de rayban.	7.690600000000001	5	neutra	2	0	3
Eu insisti e eu mesma fui comprar a camisinha na farmácia.	3.3194999999999997	4	neutra	1	0	3
Eu ja estou mocinha ja percebo quando os garotos reparam nas meninas de peito e bunda grande, quase ninguém nota ne mim, e e muito chato isso.	11.181999999999999	4	negativa	0	4	0
Eu já cansei de correr atrás de quem não merece, agora se quiser que venha atrás de mim , você sabe onde me procurar e onde me encontrar.	5.6258	5	negativa	1	4	0
Eu já estava acostumada por saber que muitos garotos já declaravam pra mim.	6.2314	5	empate	2	1	2
Eu já não aguento mais ouvir desaforo, piada, jogando na minha cara coisas que ele fez por mim, e por isso resolvi ser garota de programa.	5.6525	6	negativa	0	6	0
Eu já não sinto mais aquele amor, não sinto prazer, já não consigo mais gostar nem de mim.	4.7826	5	negativa	0	5	0
Eu já vinha recebendo vários sinais de que não era ele, mas não tinha percebido, e só agora depois disso, parei para olhar a minha volta e vi que não é ele o meu cara.	8.147	5	negativa	0	5	0
Eu lembro de tantos momentos , tantas coisas boas que agente fez junta, voce foi um anjo pra mim.	4.0875	4	negativa	0	4	0
Eu liguei o dia todo para o Nando para ver se ele viria a minha festa.	4.974200000000001	5	neutra	1	1	3
Eu mato o tempo, escrevendo nesse diario online.	6.339999999999999	5	neutra	1	0	4
Eu me apaixonei por um rapaz que é deste site.	3.4799999999999995	5	neutra	1	1	3
Eu me arrependo por chorar antes te tendo ao meu lado, e agora sinto que tenho reais motivos pra estar assim.	6.8069999999999995	5	negativa	0	4	1
Eu me recordo sempre daquele seu sorriso, quando eu chegava triste, eu me sentia abraçado por ele.	4.05775	4	positiva	4	0	0
Eu me sinto fraca e sufocada pelo meu próprio coração.	4.2786	5	negativa	0	5	0
Eu me sinto muito suja, então eu entrei molhei o meu corpo, passei a mão no sabonete que estava na minha mesa, porque eu havia comprado para conhecer a mãe dele.	10.20825	4	negativa	1	2	1
Eu me sinto tão sozinha e tão ferida por dentro, meu coração esta quebrado está transparecido no meu olhar e eu aumento o som da musica para que os vizinhos não escutem os meus gritos de dor , como se meu mundo estivesse desmoronando.	4.226166666666667	6	negativa	0	6	0
Eu meio tímido, ela veio me da uma abraço e dois beijos no rosto.	4.4323999999999995	5	positiva	3	1	1
Eu mudo muito meus sentimentos em relação a ele.	4.2012	5	neutra	0	1	4
Eu nem lembro direito como te conheci mais sei que foi o melhor dia da minha vida, você pra mim e mais que uma amiga, é uma irmã de família diferente.	7.4848333333333334	6	positiva	6	0	0
Eu nunca amei ninguém como eu te amei.	3.3616	5	positiva	4	1	0
Eu não aguento mais as nossas brigas, elas me deixam em um estado que eu não sei nem explicar em palavras.	2.79575	4	negativa	0	4	0
Eu não consigo acreditar que é tao difícil conversar com voce, com a minha própria mãe.	3.293	4	negativa	0	4	0
Eu não consigo pensar nele sem dar uma risada!	2.9015000000000004	4	positiva	3	0	1
Eu não consigo ver uma loira gostosa na minha frente que eu já me excito!	5.3986	5	positiva	3	1	1
Eu não me considero uma pessoa de sorte.	2.604	6	negativa	0	4	2
Eu não pretendo me comprometer seriamente com ninguém.	4.3774	5	neutra	0	1	4
Eu não sabia o que fazer!	2.1603333333333334	6	negativa	0	4	2
Eu não sei se você se lembra disso, cachorro, mas eu lembro.	6.17	4	neutra	0	0	4
Eu não sou uma pessoa de contar sonhos ou fatos reais, mas como foi uma experiência de tal proporções que estou abrindo mão.	7.683	4	neutra	0	0	4
Eu não tinha medos.	2.8628	5	positiva	3	0	2
Eu não to nem ai pra tua autoridade, se você eh meu chefe, minha mãe ou o presidente do brasil, pra falar comigo você pede por favor e depois fala muito obrigado.	7.766000000000001	6	negativa	1	4	1
Eu não to nem ai pro teu carro, pra tua moto ou pra tua mulher, se eu quiser, eu corro atrás.	8.197799999999999	5	positiva	3	1	1
Eu não trato ele mal, mas cara ele só fala merda, eu já disse que não quero mais ficar com ele, mas ele insisti de uma forma que sufoca.	6.73975	4	negativa	0	4	0
Eu odeio não porque me fizeram algo, mas pelo fato de você ter se entregado para elas.	6.305400000000001	5	negativa	0	4	1
Eu ouvi tudo e fiquei muito orgulhosa de mim mesma!	2.6656	5	positiva	4	1	0
Eu parei no estacionamento de uma feira do bairro Santo Antônio em Manaus e lá começamos a nos agarrar com vontade.	6.27775	4	positiva	4	0	0
Eu particularmente não vou ligar se ele falar que só me quer como amiga, tá de boa, mas eu só não quero que ele me trate pior.	10.7994	5	negativa	0	4	1
