frase	empate_masculino	empate_feminino	total_positiva_m	total_negativa_m	total_neutra_m	total_positiva_f	total_negativa_f	total_neutra_f
Mas aí ela começou a falar que eu gostava dele e por fim, elogiou os olhos verdes.	Não	Sim	4	0	0	2	0	2
Mas como tudo tem seu lado positivo, eu acredito que essa experiência vai servir pros meus próximos relacionamentos.	Não	Sim	6	0	0	2	0	2
Mas nos últimos tempos, vem acontecido coisas estranhas comigo.	Não	Sim	0	3	2	0	2	2
Mas não é por isso se sente necessidade de viver anunciando suas qualidades.	Não	Sim	4	0	0	2	2	1
Mas tem hora que parece que vou explodir de tanto amor.	Não	Sim	5	1	0	2	0	2
Mas uma coisa é certa, te amo muito e mesmo querendo te esquecer, te amo cada vez mais, hoje mais do que ontem, amanhã mais do que nunca.	Não	Sim	6	0	0	2	2	2
Mas, nem dei chega pra lá nele não, até mesmo porque ele nem pediu nada pra mim, só me tratou dessa forma, puxando meu saco.	Não	Sim	0	0	4	0	2	2
Me desculpe, mas eu nunca serei perfeita e isso, acredite, dói mais em mim do que em você.	Não	Sim	0	4	0	0	2	2
Meu corpo tremia, mais do que o dele, fiquei de perna bamba.	Não	Sim	4	0	1	2	0	2
Meu, eu choro as vezes sem perceber e mordo a boca pra não desabar na frente de alguma pessoa.	Não	Sim	1	4	0	0	2	2
Meus amigos vieram aqui pra casa fazer um rodizio de pizza , bem legal , comi demais , vimos filme , e eles estão dormindo aqui em casa agora.	Não	Sim	3	1	1	2	0	2
Minha cabeça e meu coração tinham ficado tão acelerados, que eu sempre esperava ele para poder gozar.	Não	Sim	3	0	1	2	0	2
Minhas amigas descobriram por que me pegaram a força e tiraram meu casaco pra ver o que eu tanto escondia.	Não	Sim	0	3	1	0	2	2
Moça alta, mulata, bonitona.	Não	Sim	5	0	1	2	0	2
Muitas garotas querem chamar a atenção dos garotos, rindo alto ou falando alto, isso é coisas de garotinhas sem atitude, e você não quer ser vista assim né?	Não	Sim	0	4	1	0	2	2
Mês de setembro não teve nada de interessante , trabalhei muito como sempre e pertinho do final de ano .	Não	Sim	1	0	3	0	2	2
Na do ITB eu acho que acertei umas 35, de 50.	Não	Sim	3	0	2	2	0	2
Nesse momento eu fico sem jeito, e a timidez toma conta de mim e quando me dou conta, já estou em seus braços.	Não	Sim	3	1	2	2	0	2
Nunca devemos esquecer de que somos nós os arquiteto do nosso próprio destino cada um tem o seu livre arbítrio de seguir a sua vida como quer.	Não	Sim	5	0	1	2	0	2
Não deixe sua vida passar por passar escreve sua historia dia após dia vc merece ser feliz vc tem que ser feliz não de aos outros poderes que eles não possuem	Não	Sim	4	0	0	2	0	2
Não ficamos, nem sequer nos beijamos, almoçamos juntos algumas vezes nos falamos por telefone e nos correspondemos por mensagens e msn, tudo começou com uma amizade.	Não	Sim	3	0	2	2	0	2
Não foi bem uma transa, mas foi legal.	Não	Sim	4	0	1	2	0	2
Não me arrependo de nada mesmo, de ter transado, com ele porque ele fez valer a pena, fez eu me sentir como nunca, fez loucuras na cama comigo.	Não	Sim	3	1	1	2	0	2
Não quero que me juguem, me xinguem ou coisa parecida quero apenas que me compreendam!	Não	Sim	1	1	2	0	2	2
Não sei se você está vivo, mas sei que onde quer que você esteja, está em meu coração, e eu to contigo pequeno.	Não	Sim	5	0	0	2	0	2
Não tenho procurado amigos e nem mesmo ninguém.	Não	Sim	0	4	1	0	2	2
Não vou falar da tragédia de Santa Maria, pois só em pensar me da vontade de chorar, bom vou terminar agora, depois da escola eu venho contar mais!	Não	Sim	4	0	0	2	1	2
Nós fomos avaliar a música que era aquela música da Legião Urbana, Pais e Filhos, nossa super amo essa música.	Não	Sim	5	0	1	3	0	3
O Marcelo é especial e o que sinto por ele não tem acabado , só tem aumentado cada vez mais e mais .	Não	Sim	4	0	0	2	0	2
O Senhor conhece e sonda o meu coração, sabe o que penso, o que sinto.	Não	Sim	5	0	0	2	0	2
Olhei por todos lados do quintal, e sai de pijama pelas ruas de Curitiba te procurando.	Não	Sim	0	1	4	0	2	2
Ontem a noite meu namorado veio aqui em casa, não saímos, ficamos em casa mesmo.	Não	Sim	1	0	5	2	0	2
Parece que aconteceu ontem, porque consigo sentir até o cheiro dele.	Não	Sim	1	0	5	2	0	2
Passando então esses 3 horários, chegou o intervalo, encontrei de novo meu namorado, descemos juntos e fomos para ao pátio sentar com de costume no mesmo lugar que sentamos todos os dias.	Não	Sim	1	0	4	2	0	2
Pense nisso, saiba que eu te amo demais, desejo muito sua companhia.	Não	Sim	4	0	2	3	0	3
Pode achar que eu sou maluca, eu gostei de um garoto que conheci na internet.	Não	Sim	1	0	3	2	0	2
Pois uma coisa é certa, se não é pra ser com você, vai ser com quem me ame e retribua.	Não	Sim	4	0	0	2	0	2
Posso tentar parar o vento ou sentar na brisa da primavera posso tentar parar o sol ou fazer com que você tenha um dia perfeito posso tentar e fazer tantas coisas para você, menos que você me ame tanto quanto EU TE AMO.	Não	Sim	4	0	0	2	1	2
Preocupa-se muito pouco com a opinião alheia.	Não	Sim	4	0	0	2	1	2
Presta atenção rapaz, ela da risada das suas piadas mais idiotas.	Não	Sim	4	0	2	2	0	2
Quando acordei, meu namorado estava com a mão na minha cintura, me abraçando, e com a cabeça perto do meu cabelo.	Não	Sim	5	0	0	2	0	2
Quando ela te encher a paciência, não brigue, ela só gosta de te ver um pouco irritado, por que sabe que depois você vai abrir um sorriso, e ela ama esse sorriso.	Não	Sim	3	1	1	2	0	2
Quando eu era criança, acreditava que as estrelas eram os olhos de Deus, que piscavam de vez em quando para a gente apenas para que soubéssemos que havia um cara lá em cima de olho nas traquinagens que aprontávamos.	Não	Sim	3	0	1	2	0	2
Quem já namoro e nunca teve uma saudades do ex, que atire a primeira pedra.	Não	Sim	1	1	2	0	2	2
Queria tanto, mas não posso, pois o que sinto por ti é tão forte, impossível de esquecer.	Não	Sim	1	1	2	2	2	0
Realizam experiências com alimentação e pesquisam formas de garantir as condições de higiene e de prevenir e combater doenças e parasitas, para melhorar a saúde dos rebanhos e a qualidade dos produtos derivados.	Não	Sim	5	0	0	2	0	2
Rodrigo meu amigo, ele disse que ia volta pra fala comigo no msn, eu o considero como um grande irmão pra mim.	Não	Sim	3	1	1	2	0	2
Sempre de noite e tenho medo, pavor e nunca durmo no escuro aqui tem uma luz pequena que fica acesa, na minha noite de núpcias quero fazer na claridade.	Não	Sim	1	3	0	0	2	2
Sempre dizemos que não vamos, mas nos apaixonar por pessoas erradas, mas sem que nos perceba já estamos lá encantadas pela pessoa sem nem conhece-la direito.	Não	Sim	1	4	0	0	2	2
Sempre quando se faz aqueles rastreios na escola, sou sempre alertada porque estou abaixo e eu não gosto disso!	Não	Sim	0	6	0	0	2	2
Senti um choque e um calor pelo corpo todo por essa situação inusitada.	Não	Sim	2	0	4	2	0	2
Seu andar é meio saltitante e alegre, e sempre fazem várias coisas ao mesmo tempo, como estudar vendo TV e falando ao telefone enquanto conversam com você.	Não	Sim	4	0	1	2	0	2
Seu lado da sapateira era cheio de sapatos que nunca acabava e eu sempre reclamava da confusão.	Não	Sim	0	4	1	0	2	2
São poucos os que eu me explico.	Não	Sim	1	0	4	2	0	2
Tenho inúmeras fotos de você com outras pessoas que eu odeio.	Não	Sim	1	4	0	0	2	2
Tipo, ele tinha dado uma sumida, agora voltou de novo a me perturbar.	Não	Sim	1	4	0	0	2	2
Tipo, semana passada eu fiz o cabelo dela, pois eu faço curso de cabeleireiro, então tenho que treinar, mas claro que uma escova e chapinha, sei fazer perfeitamente.	Não	Sim	3	0	1	2	0	2
Todos nós temos o dever de contemplar a luz que existe em cada um.	Não	Sim	4	0	0	2	0	2
Tomamos banho juntos e quando começamos a nos secar ele me joga na cama e sua boca me faz gemer.	Não	Sim	4	1	0	2	0	2
Tá no coração e na alma, e sei que você olha por mim, pequeno.	Não	Sim	3	0	1	2	1	2
Ultimamente meus instintos de sexo e agressividade andam muito aflorados.	Não	Sim	2	1	1	2	1	2
Vejo muitas garotas sofrendo por garotinhos que não dão a minima para elas, então pra ganharem atenção fingem ser algo que não são. 	Não	Sim	0	5	0	0	2	2
Vivos, alegres e comunicativos, estes seres geminianos, leves e desencanados, parecem estar sempre bem com todos.	Não	Sim	3	0	1	2	0	2
Vou aprender a viver sem você, e se Deus quiser eu também vou ser feliz.	Não	Sim	4	0	0	2	2	0
É meu instrutor, tipo ele fica direto babando meu ovo cara, desde que chego até ir embora.	Não	Sim	0	4	1	0	2	2
